,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
0,0,19,76,67,4,67,6,67,7,52,26,52,19,52,18,52,123,52,97,52,111,52,126,52,89,52,79,41,27,41,34,41,37,48,74,48,54,48,56
1,1,0,4,0,5,0,4,0,5,0,6,0,4,0,4,0,5,0,4,0,4,0,9,0,7,0,7,0,4,0,6,0,4,0,5,0,4,0,5
2,2,0,5,0,5,0,4,0,6,0,4,0,5,0,5,0,4,0,3,0,5,0,11,0,8,0,4,0,4,0,8,0,4,0,5,0,4,0,4
3,3,0,8,0,4,0,5,0,5,0,7,0,6,0,10,0,7,0,5,0,5,0,9,0,10,0,5,0,4,0,4,0,4,0,6,0,5,0,4
4,4,22,17,73,6,73,5,73,8,69,13,69,11,69,10,69,17,69,14,69,16,73,22,73,18,73,8,46,20,46,23,46,17,46,49,46,36,46,38
5,5,0,9,0,4,0,4,0,5,0,6,0,4,0,6,0,5,0,4,0,5,0,12,0,7,0,4,0,3,0,4,0,4,0,5,0,4,0,4
6,6,33,23,80,10,80,9,80,10,43,16,43,12,43,15,47,22,47,15,47,19,47,24,47,17,47,8,43,15,43,15,43,14,47,46,47,31,47,33
7,7,0,14,0,2,0,3,0,5,0,4,0,3,0,3,0,5,0,3,0,3,0,7,0,5,0,4,0,2,0,3,0,3,0,4,0,2,0,3
8,8,0,21,0,7,0,7,0,8,0,7,0,6,0,7,0,11,0,5,0,10,0,12,0,14,0,5,0,7,0,7,0,6,0,7,0,6,0,6
9,9,0,16,0,4,0,4,0,5,0,4,0,5,0,4,0,6,0,4,0,4,0,7,0,9,0,4,0,4,0,4,0,3,0,7,0,4,0,4
10,10,19,7,31,1,31,1,31,2,27,3,27,2,27,2,23,3,23,2,23,4,27,4,27,4,27,3,21,6,21,6,21,6,31,13,31,10,31,10
11,11,0,18,0,4,0,4,0,4,0,4,0,4,0,5,0,6,0,3,0,5,0,8,0,6,0,3,0,3,0,4,0,3,0,5,0,3,0,4
12,12,0,19,0,4,0,3,0,4,0,4,0,3,0,4,0,5,0,4,0,4,0,7,0,8,0,10,0,3,0,5,0,4,0,4,0,5,0,3
13,13,0,24,0,4,0,5,0,5,0,5,0,4,0,5,0,4,0,3,0,4,0,9,0,6,0,3,0,4,0,6,0,3,0,4,0,3,0,4
14,14,21,17,71,5,71,5,71,6,69,13,69,9,69,12,69,18,69,16,69,22,71,18,71,17,71,7,46,15,46,17,46,16,44,53,44,36,44,41
15,15,19,17,67,5,67,5,67,6,52,23,52,18,52,22,52,137,52,104,52,114,52,135,52,109,52,59,41,26,41,43,41,26,48,77,48,61,48,58
16,16,19,17,67,6,67,6,67,6,52,26,52,19,52,20,52,141,52,91,52,125,52,136,52,114,52,55,41,26,41,29,41,27,48,79,48,54,48,59
17,17,0,2,0,13,0,4,0,5,0,9,0,4,0,4,0,7,0,4,0,9,0,10,0,10,0,4,0,4,0,4,0,5,0,5,0,3,0,4
18,18,0,5,0,4,0,4,0,6,0,8,0,4,0,4,0,5,0,5,0,10,0,7,0,11,0,5,0,5,0,5,0,4,0,5,0,4,0,4
19,19,0,6,0,5,0,5,0,5,0,9,0,4,0,6,0,5,0,4,0,10,0,12,0,9,0,3,0,6,0,5,0,4,0,5,0,4,0,4
20,20,22,17,73,6,73,6,73,7,69,15,69,10,69,18,69,21,69,14,69,45,73,19,73,17,73,9,46,20,46,18,46,16,46,50,46,41,46,39
21,21,0,9,0,5,0,4,0,5,0,5,0,3,0,5,0,7,0,4,0,7,0,10,0,9,0,4,0,4,0,4,0,4,0,5,0,6,0,4
22,22,33,22,80,8,80,9,80,9,43,16,43,14,43,15,47,26,47,15,47,34,47,21,47,22,47,8,43,15,43,18,43,16,47,47,47,40,47,33
23,23,0,12,0,5,0,2,0,4,0,3,0,3,0,8,0,7,0,2,0,7,0,5,0,6,0,4,0,4,0,5,0,4,0,4,0,3,0,3
24,24,0,25,0,10,0,7,0,8,0,10,0,7,0,8,0,10,0,7,0,9,0,18,0,11,0,7,0,6,0,9,0,6,0,8,0,7,0,7
25,25,0,16,0,6,0,5,0,5,0,5,0,5,0,5,0,6,0,3,0,5,0,12,0,5,0,4,0,4,0,5,0,3,0,5,0,5,0,3
26,26,19,8,31,2,31,1,31,1,27,2,27,1,27,3,23,12,23,3,23,4,27,7,27,3,27,2,21,6,21,6,21,7,31,14,31,9,31,11
27,27,0,23,0,6,0,4,0,5,0,6,0,4,0,4,0,6,0,3,0,5,0,9,0,6,0,3,0,3,0,4,0,3,0,5,0,3,0,4
28,28,0,19,0,6,0,4,0,4,0,4,0,5,0,4,0,5,0,3,0,6,0,11,0,7,0,3,0,3,0,3,0,4,0,5,0,5,0,3
29,29,0,22,0,5,0,9,0,4,0,5,0,4,0,7,0,5,0,4,0,6,0,8,0,7,0,4,0,4,0,4,0,4,0,4,0,4,0,3
30,30,21,18,71,9,71,73,71,7,69,11,69,11,69,10,69,19,69,20,69,27,71,23,71,19,71,8,46,15,46,21,46,15,44,58,44,36,44,39
31,31,19,18,67,6,67,22,67,6,52,31,52,19,52,22,52,142,52,126,52,142,52,139,52,112,52,52,41,27,41,32,41,27,48,85,48,57,48,58
32,32,19,25,67,8,67,15,67,5,52,22,52,21,52,21,52,133,52,125,52,120,52,133,52,198,52,52,41,29,41,34,41,27,48,84,48,60,48,62
33,33,0,4,0,6,0,12,0,7,0,5,0,4,0,4,0,7,0,4,0,6,0,12,0,14,0,5,0,7,0,6,0,5,0,5,0,4,0,5
34,34,0,8,0,7,0,7,0,8,0,6,0,5,0,4,0,5,0,5,0,5,0,10,0,11,0,5,0,6,0,5,0,5,0,6,0,4,0,5
35,35,0,9,0,8,0,7,0,6,0,5,0,5,0,4,0,6,0,4,0,4,0,10,0,9,0,4,0,4,0,4,0,4,0,5,0,5,0,4
36,36,22,24,73,9,73,15,73,7,69,12,69,11,69,10,69,19,69,14,69,29,73,22,73,23,73,8,46,21,46,38,46,16,46,55,46,46,46,43
37,37,0,13,0,7,0,6,0,6,0,5,0,4,0,4,0,6,0,3,0,8,0,8,0,9,0,4,0,5,0,6,0,4,0,5,0,6,0,4
38,38,33,29,80,9,80,12,80,11,43,18,43,13,43,12,47,21,47,22,47,32,47,21,47,20,47,8,43,16,43,17,43,15,47,45,47,44,47,36
