,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
0,0,0,25,0,4,0,2,0,6,0,6,0,4,0,4,0,3,0,4,0,4,0,4,0,6,0,11,0,3,0,3,0,2,0,3,0,3,0,2
1,1,0,3,0,6,0,4,0,8,0,11,0,4,0,10,0,4,0,4,0,5,0,10,0,8,0,4,0,4,0,4,0,4,0,7,0,4,0,4
2,2,0,5,0,7,0,5,0,7,0,10,0,5,0,4,0,4,0,4,0,8,0,9,0,5,0,5,0,4,0,5,0,4,0,5,0,4,0,4
3,3,0,6,0,8,0,4,0,8,0,5,0,4,0,4,0,5,0,4,0,10,0,10,0,7,0,4,0,4,0,5,0,4,0,5,0,4,0,4
4,4,0,118,0,2,0,3,0,5,0,3,0,3,0,3,0,2,0,2,0,3,0,7,0,6,0,3,0,2,0,2,0,3,0,4,0,3,0,3
5,5,0,11,0,11,0,4,0,10,0,6,0,4,0,4,0,4,0,4,0,5,0,9,0,5,0,3,0,4,0,4,0,4,0,5,0,4,0,3
6,6,0,40,0,4,0,4,0,17,0,8,0,4,0,4,0,4,0,3,0,5,0,8,0,6,0,4,0,4,0,4,0,4,0,5,0,4,0,4
7,7,0,10,0,3,0,3,0,8,0,6,0,3,0,3,0,4,0,3,0,5,0,6,0,4,0,3,0,3,0,4,0,3,0,4,0,3,0,3
8,8,0,20,0,7,0,6,0,21,0,10,0,6,0,8,0,6,0,6,0,12,0,12,0,12,0,6,0,5,0,8,0,6,0,8,0,6,0,6
9,9,0,16,0,4,0,4,0,9,0,3,0,3,0,3,0,4,0,3,0,7,0,7,0,7,0,4,0,4,0,3,0,4,0,5,0,4,0,4
