,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
0,0,10,2131,10,5,10,4,10,4,10,5,10,5,10,4,10,4,10,4,10,2,10,4,10,5,10,3,10,3,10,3,10,3,10,3,10,3,10,2
1,1,1,14520,1,4,1,5,1,7,1,7,1,5,1,8,1,8,1,6,1,5,1,5,1,7,1,3,1,6,1,10,1,8,1,7,1,6,1,7
2,2,2,10739,13,4,13,5,13,7,13,4,13,5,13,5,13,6,13,4,13,7,13,7,13,7,13,4,2,2,2,3,2,3,2,22,2,21,2,19
3,3,1,17132,1,3,1,5,1,1257,1,5,1,5,1,3,1,4,1,4,1,8,1,5,1,7,1,3,1,4,1,5,1,3,1,5,1,5,1,5
4,4,14,44238,37,21,37,24,37,35,39,55,39,64,39,48,41,560,41,324,41,819,37,30,37,41,37,23,39,49,39,49,39,53,34,345,34,307,34,313
5,5,1,7104,2,2,2,1,2,3,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,1,10,1,9,1,10
6,6,1,9337,30,8,30,9,30,14,12,4,12,3,12,3,2,3,2,2,2,3,28,11,28,14,28,35,1,4,1,3,1,5,1,43,1,38,1,40
7,7,3,20588,3,5,3,4,3,6,3,6,3,6,3,5,3,6,3,7,3,7,3,7,3,9,3,13,3,5,3,6,3,5,3,5,3,5,3,5
8,8,1,11122,1,1,1,2,1,3,1,4,1,5,1,4,1,4,1,5,1,5,1,6,1,7,1,7,1,4,1,4,1,4,1,11,1,10,1,10
9,9,1,11747,1,2,1,2,1,3,1,4,1,3,1,5,1,4,1,5,1,4,1,5,1,6,1,7,1,4,1,4,1,5,1,9,1,8,1,9
10,10,1,7424,8,2,8,2,8,3,5,3,5,4,5,2,3,4,3,5,3,6,5,5,5,6,5,4,1,2,1,1,1,2,1,14,1,12,1,127
11,11,1,15761,6,5,6,5,6,7,2,4,2,4,2,4,2,5,2,6,2,6,6,9,6,9,6,8,2,4,2,5,2,5,2,6,2,5,2,7
12,12,1,17005,1,3,1,3,1,4,1,6,1,6,1,5,1,6,1,6,1,8,1,5,1,5,1,6,1,6,1,6,1,6,1,6,1,6,1,6
13,13,1,12788,50,12,50,12,50,16,48,13,48,11,48,13,48,14,48,12,48,14,48,16,48,20,48,18,50,12,50,13,50,14,1,7,1,6,1,8
14,14,3,24713,10,7,10,7,10,10,10,10,10,12,10,10,10,15,10,12,10,13,10,13,10,15,10,8,10,11,10,10,10,10,10,11,10,11,10,12
15,15,1,8753,6,2,6,3,6,3,2,3,2,2,2,2,2,2,2,3,2,3,2,4,2,4,2,4,1,2,1,3,1,2,1,25,1,23,1,23
16,16,1,14299,5,5,5,4,5,5,2,4,2,4,2,3,2,5,2,4,2,5,5,7,5,7,5,7,2,5,2,5,2,4,2,8,2,9,2,8
17,17,1,9030,5,2,5,2,5,4,5,2,5,3,5,2,4,4,4,5,4,3,4,5,4,6,4,4,4,5,4,6,4,6,1,240,1,93,1,36
18,18,1,14895,6,4,6,5,6,5,2,4,2,4,2,5,2,5,2,4,2,5,6,9,6,5,6,7,2,4,2,4,2,5,1,5,1,3,1,4
19,19,1,13855,11,6,11,5,11,6,11,7,11,7,11,7,6,9,6,9,6,9,11,8,11,11,11,8,8,7,8,7,8,8,1,5,1,5,1,4
20,20,5,19190,12,7,12,7,12,8,6,7,6,10,6,8,6,9,6,8,6,9,12,10,12,12,12,10,6,7,6,8,6,9,6,13,6,12,6,11
21,21,1,14350,6,5,6,5,6,5,2,4,2,4,2,4,2,4,2,4,2,5,6,7,6,6,6,4,2,5,2,4,2,4,2,5,2,5,2,5
22,22,1,9163,1,2,1,2,1,2,1,3,1,3,1,3,1,2,1,3,1,1,1,5,1,4,1,3,1,3,1,3,1,2,1,40,1,38,1,33
23,23,6,11321,21,6,21,6,21,9,21,7,21,6,21,7,21,9,21,8,21,10,21,10,21,9,21,10,21,12,21,14,21,13,8,161,8,141,8,141
