,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
0,0,10,1224,10,3,10,3,10,2,10,3,10,2,10,2,10,2,10,3,10,3,10,4,10,4,10,3,10,2,10,2,10,2,10,3,10,3,10,3
1,1,0,1,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,2,0,2,0,5,0,3,0,2,0,2,0,3,0,2,0,2,0,2,0,2
2,2,0,2,0,1,0,1,0,2,0,1,0,2,0,1,0,2,0,2,0,1,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,1,0,1
3,3,0,3,0,3,0,3,0,2,0,3,0,3,0,3,0,3,0,4,0,3,0,5,0,4,0,3,0,3,0,2,0,3,0,3,0,3,0,3
4,4,0,12,0,685,0,9,0,8,0,10,0,9,0,9,0,9,0,11,0,9,0,10,0,12,0,9,0,9,0,9,0,10,0,11,0,8,0,9
5,5,0,3,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
6,6,0,4,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1
7,7,3,21388,3,6,3,4,3,4,3,5,3,5,3,5,3,6,3,8,3,6,3,6,3,6,3,5,3,5,3,5,3,5,3,6,3,5,3,5
8,8,0,4,0,1,0,2,0,2,0,2,0,2,0,2,0,1,0,1,0,1,0,2,0,2,0,2,0,1,0,1,0,1,0,2,0,1,0,2
9,9,0,5,0,2,0,1,0,1,0,1,0,1,0,3,0,2,0,1,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,1,0,1
10,10,0,3,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1
11,11,0,7,0,3,0,2,0,2,0,3,0,2,0,3,0,3,0,3,0,3,0,3,0,3,0,2,0,2,0,3,0,2,0,3,0,3,0,2
12,12,0,1474,0,3,0,2,0,2,0,2,0,3,0,2,0,2,0,2,0,2,0,3,0,3,0,3,0,2,0,2,0,4,0,3,0,2,0,3
13,13,0,5,0,1,0,2,0,1,0,2,0,1,0,1,0,2,0,1,0,1,0,2,0,2,0,1,0,1,0,2,0,1,0,2,0,1,0,1
14,14,0,15,0,5,0,5,0,5,0,4,0,6,0,5,0,5,0,7,0,4,0,5,0,7,0,5,0,4,0,4,0,5,0,6,0,5,0,4
15,15,0,5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,2
16,16,0,2743,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,2,0,2,0,2,0,2,0,3,0,2,0,2
17,17,0,5,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,2,0,1,0,1,0,1,0,1,0,2,0,1,0,1
18,18,0,12,0,2,0,2,0,2,0,2,0,3,0,2,0,3,0,2,0,2,0,2,0,4,0,2,0,2,0,2,0,2,0,4,0,2,0,2
19,19,0,10,0,2,0,2,0,2,0,4,0,1,0,2,0,2,0,2,0,2,0,2,0,3,0,2,0,2,0,2,0,2,0,3,0,2,0,1
20,20,0,16,0,3,0,3,0,3,0,4,0,3,0,3,0,3,0,3,0,2,0,5,0,5,0,3,0,2,0,3,0,4,0,6,0,3,0,3
21,21,0,6178,0,1,0,2,0,1,0,2,0,2,0,2,0,2,0,2,0,3,0,3,0,4,0,2,0,2,0,2,0,2,0,4,0,2,0,2
22,22,0,8,0,2,0,1,0,1,0,1,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
23,23,0,10,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,2,0,1,0,2,0,3,0,1,0,2,0,1,0,2,0,2,0,1,0,1
24,24,1,7155,2,1,2,1,2,1,2,2,2,2,2,3,2,2,2,1,2,1,2,2,2,3,2,3,1,2,1,2,1,2,1,16,1,11,1,11
25,25,0,11,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,2,0,2,0,1,0,2,0,2,0,1,0,1,0,1,0,2,0,1,0,1
26,26,0,4868,0,2,0,2,0,2,0,3,0,2,0,1,0,2,0,1,0,2,0,2,0,3,0,1,0,2,0,2,0,2,0,2,0,2,0,2
27,27,0,11,0,1,0,1,0,1,0,1,0,1,0,2,0,1,0,2,0,1,0,2,0,2,0,1,0,1,0,1,0,1,0,2,0,1,0,1
28,28,0,25,0,4,0,3,0,3,0,3,0,3,0,4,0,3,0,3,0,3,0,3,0,4,0,3,0,3,0,3,0,4,0,4,0,3,0,4
