,TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE, Cost_TRIE_STREAMING_fix1_x, ExecutionTime_TRIE_STREAMING_fix1_x, Cost_TRIE_STREAMING_fix1_y, ExecutionTime_TRIE_STREAMING_fix1_y, Cost_TRIE_STREAMING_fix1, ExecutionTime_TRIE_STREAMING_fix1, Cost_TRIE_STREAMING_fix3_x, ExecutionTime_TRIE_STREAMING_fix3_x, Cost_TRIE_STREAMING_fix3_y, ExecutionTime_TRIE_STREAMING_fix3_y, Cost_TRIE_STREAMING_fix3, ExecutionTime_TRIE_STREAMING_fix3, Cost_TRIE_STREAMING_fix5_x, ExecutionTime_TRIE_STREAMING_fix5_x, Cost_TRIE_STREAMING_fix5_y, ExecutionTime_TRIE_STREAMING_fix5_y, Cost_TRIE_STREAMING_fix5, ExecutionTime_TRIE_STREAMING_fix5, Cost_TRIE_STREAMING_disc1_x, ExecutionTime_TRIE_STREAMING_disc1_x, Cost_TRIE_STREAMING_disc1_y, ExecutionTime_TRIE_STREAMING_disc1_y, Cost_TRIE_STREAMING_disc1, ExecutionTime_TRIE_STREAMING_disc1, Cost_TRIE_STREAMING_disc3_x, ExecutionTime_TRIE_STREAMING_disc3_x, Cost_TRIE_STREAMING_disc3_y, ExecutionTime_TRIE_STREAMING_disc3_y, Cost_TRIE_STREAMING_disc3, ExecutionTime_TRIE_STREAMING_disc3, Cost_TRIE_STREAMING_disc5_x, ExecutionTime_TRIE_STREAMING_disc5_x, Cost_TRIE_STREAMING_disc5_y, ExecutionTime_TRIE_STREAMING_disc5_y, Cost_TRIE_STREAMING_disc5, ExecutionTime_TRIE_STREAMING_disc5
0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0
1,1,7,130,10,2,10,2,10,2,10,3,10,3,10,6,10,8,10,8,10,7,10,3,10,2,10,2,10,3,10,4,10,3,10,9,10,8,10,8
2,2,15,280,17,5,17,3,17,4,17,6,17,4,17,10,17,10,17,9,17,12,17,7,17,5,17,4,17,4,17,5,17,5,17,12,17,9,17,9
3,3,4,59,6,2,6,1,6,1,6,6,6,2,6,3,5,9,5,10,5,12,6,2,6,2,6,1,6,1,6,1,6,1,5,12,5,9,5,9
4,4,23,485,25,6,25,5,25,5,25,22,25,12,25,21,25,24,25,22,25,30,25,7,25,7,25,4,25,12,25,12,25,12,25,26,25,21,25,23
5,5,8,162,12,3,12,2,12,2,12,4,12,3,12,5,12,9,12,8,12,9,12,2,12,3,12,2,12,3,12,4,12,3,12,9,12,8,12,8
6,6,11,173,11,2,11,4,11,3,11,7,11,6,11,7,11,10,11,9,11,11,11,4,11,4,11,3,11,3,11,4,11,4,11,11,11,9,11,9
7,7,5,72,6,2,6,1,6,1,6,2,6,2,6,3,6,7,6,6,6,8,6,3,6,1,6,2,6,2,6,1,6,1,6,8,6,6,6,7
8,8,12,214,15,6,15,5,15,5,15,10,15,6,15,9,14,16,14,14,14,18,15,7,15,8,15,5,15,6,15,7,15,6,14,20,14,15,14,15
9,9,11,194,13,3,13,2,13,3,13,3,13,4,13,3,13,8,13,9,13,10,13,3,13,4,13,1,13,3,13,3,13,4,13,15,13,7,13,8
10,10,8,127,11,2,11,2,11,2,11,3,11,2,11,4,11,8,11,8,11,10,11,2,11,3,11,2,11,2,11,1,11,3,11,9,11,7,11,8
11,11,5,71,5,2,5,2,5,2,5,4,5,3,5,4,5,10,5,11,5,13,5,2,5,3,5,2,5,2,5,2,5,2,5,12,5,9,5,11
12,12,7,126,11,4,11,3,11,3,11,8,11,7,11,7,11,11,11,15,11,12,11,5,11,5,11,3,11,5,11,4,11,4,11,16,11,9,11,9
13,13,2,41,4,1,4,1,4,1,4,8,4,6,4,6,2,737,2,837,2,908,4,1,4,1,4,1,4,4,4,4,4,5,2,977,2,778,2,811
14,14,8,131,11,2,11,1,11,1,11,5,11,2,11,5,11,7,11,7,11,7,11,1,11,3,11,3,11,2,11,3,11,1,11,8,11,7,11,7
15,15,8,148,10,4,10,4,10,4,10,10,10,3,10,6,10,12,10,10,10,10,10,3,10,3,10,2,10,3,10,3,10,4,10,12,10,8,10,12
16,16,7,124,9,2,9,1,9,2,9,6,9,2,9,5,7,7,7,8,7,9,9,3,9,4,9,2,9,2,9,2,9,2,7,10,7,7,7,8
17,17,10,177,12,3,12,2,12,3,12,4,12,3,12,4,14,8,14,6,14,6,12,4,12,4,12,3,12,3,12,2,12,3,14,7,14,5,14,6
18,18,13,210,16,2,16,2,16,2,16,7,16,3,16,4,16,10,16,8,16,11,16,4,16,4,16,2,16,3,16,3,16,3,16,9,16,7,16,9
19,19,9,146,12,3,12,3,12,2,12,4,12,3,12,5,12,8,12,8,12,12,12,2,12,2,12,2,12,2,12,3,12,3,12,8,12,8,12,8
20,20,13,214,14,12,14,7,14,10,14,16,14,12,14,21,16,9,16,7,16,14,14,15,14,12,14,7,14,12,14,11,14,10,16,9,16,7,16,8
21,21,6,90,7,4,7,2,7,3,7,6,7,3,7,4,7,9,7,9,7,17,7,6,7,3,7,2,7,2,7,2,7,3,7,12,7,8,7,9
22,22,9,148,11,4,11,3,11,3,11,4,11,3,11,5,11,11,11,10,11,17,11,6,11,3,11,3,11,3,11,4,11,3,11,13,11,10,11,11
23,23,8,132,9,3,9,2,9,3,9,3,9,2,9,4,9,8,9,8,9,9,9,4,9,3,9,2,9,2,9,2,9,2,9,9,9,7,9,8
24,24,14,235,15,4,15,3,15,4,15,12,15,9,15,16,15,13,15,14,15,16,15,5,15,5,15,3,15,7,15,6,15,7,15,20,15,13,15,14
25,25,18,323,19,5,19,4,19,4,19,7,19,7,19,11,19,17,19,16,19,12,19,5,19,5,19,3,19,5,19,9,19,4,19,15,19,9,19,11
26,26,12,191,13,8,13,5,13,6,13,12,13,14,13,22,15,10,15,10,15,10,13,8,13,9,13,6,13,7,13,13,13,8,15,14,15,8,15,8
27,27,9,146,11,3,11,4,11,3,11,6,11,6,11,9,11,11,11,12,11,14,11,3,11,4,11,2,11,4,11,4,11,4,11,15,11,9,11,12
28,28,5,77,7,7,7,3,7,6,7,14,7,10,7,20,7,12,7,10,7,15,7,5,7,5,7,5,7,9,7,6,7,9,7,15,7,10,7,15
29,29,8,131,11,2,11,3,11,1,11,4,11,4,11,5,9,9,9,6,9,7,11,3,11,1,11,1,11,2,11,2,11,2,9,9,9,8,9,7
30,30,5,67,5,4,5,3,5,2,5,3,5,4,5,3,5,10,5,11,5,10,5,3,5,1,5,2,5,3,5,2,5,2,5,10,5,8,5,14
31,31,12,211,15,6,15,4,15,4,15,9,15,5,15,10,14,14,14,15,14,14,15,9,15,7,15,4,15,5,15,6,15,7,14,16,14,13,14,14
32,32,8,129,9,6,9,4,9,5,11,4,11,2,11,4,11,7,11,6,11,6,9,9,9,6,9,4,11,1,11,2,11,2,11,7,11,5,11,8
33,33,10,173,13,3,13,3,13,2,13,7,13,4,13,7,13,8,13,8,13,8,13,1,13,1,13,1,13,3,13,2,13,3,13,9,13,7,13,10
34,34,7,127,10,4,10,2,10,3,10,6,10,4,10,7,7,7,7,7,7,6,10,3,10,4,10,3,10,3,10,4,10,3,7,8,7,5,7,9
35,35,4,62,5,1,5,1,5,1,5,3,5,1,5,3,5,9,5,9,5,8,5,1,5,3,5,1,5,1,5,1,5,2,5,11,5,7,5,11
36,36,16,292,18,3,18,2,18,3,18,9,18,5,18,11,18,14,18,12,18,13,18,5,18,3,18,3,18,5,18,5,18,6,18,15,18,11,18,17
37,37,3,51,5,2,5,1,5,1,4,11,4,9,4,12,4,75,4,68,4,79,5,2,5,1,5,1,4,6,4,6,4,6,4,102,4,87,4,96
38,38,13,234,17,4,17,2,17,2,17,7,17,5,17,6,15,9,15,7,15,8,17,4,17,2,17,4,17,3,17,3,17,3,15,8,15,9,15,7
39,39,12,196,15,3,15,3,15,3,15,5,15,4,15,4,15,8,15,8,15,8,15,4,15,2,15,3,15,4,15,3,15,3,15,9,15,9,15,8
40,40,6,118,10,5,10,4,10,4,10,7,10,5,10,24,10,9,10,7,10,8,10,7,10,4,10,4,10,4,10,3,10,4,10,8,10,10,10,7
41,41,4,91,7,3,7,1,7,2,7,6,7,3,7,3,4,18,4,8,4,9,7,5,7,2,7,2,7,2,7,2,7,2,4,9,4,11,4,7
42,42,15,278,17,6,17,3,17,3,17,7,17,6,17,3,17,9,17,9,17,10,17,7,17,4,17,3,17,4,17,3,17,4,17,10,17,11,17,9
43,43,10,181,12,3,12,2,12,2,12,8,12,8,12,8,12,11,12,10,12,13,12,5,12,3,12,3,12,5,12,5,12,4,12,13,12,12,12,10
44,44,8,127,9,3,9,3,9,3,9,3,9,3,9,3,9,8,9,7,9,7,9,6,9,4,9,2,9,3,9,2,9,2,9,8,9,8,9,8
45,45,6,117,9,4,9,3,9,3,9,4,9,4,9,5,6,6,6,5,6,7,9,5,9,4,9,2,9,3,9,3,9,4,6,6,6,8,6,6
46,46,5,101,9,2,9,1,9,2,9,3,9,3,9,5,7,7,7,8,7,13,9,2,9,1,9,1,9,2,9,2,9,2,7,8,7,8,7,7
47,47,12,196,13,9,13,6,13,6,13,17,13,9,13,11,13,14,13,15,13,17,13,12,13,9,13,7,13,8,13,8,13,8,13,16,13,15,13,14
48,48,38,1040,41,10,41,9,41,9,41,36,41,32,41,25,41,37,41,39,41,43,41,16,41,9,41,7,41,21,41,32,41,25,41,46,41,41,41,39
49,49,15,253,17,6,17,5,17,6,17,7,17,10,17,11,16,8,16,8,16,8,17,6,17,5,17,5,17,6,17,8,17,6,16,10,16,8,16,7
50,50,6,113,8,2,8,2,8,2,10,7,10,5,10,7,8,7,8,7,8,7,8,2,8,2,8,2,10,4,10,3,10,6,8,9,8,6,8,7
51,51,10,162,14,2,14,1,14,2,14,4,14,3,14,4,14,7,14,7,14,7,14,5,14,2,14,2,14,2,14,2,14,2,14,8,14,8,14,6
52,52,11,178,14,3,14,2,14,4,14,6,14,5,14,5,14,6,14,7,14,8,14,4,14,2,14,3,14,3,14,3,14,4,14,9,14,6,14,6
53,53,10,163,11,6,11,5,11,5,11,11,11,7,11,7,10,6,10,6,10,7,11,8,11,7,11,4,11,5,11,6,11,7,10,6,10,5,10,6
