TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,1,0
1,0,1
2,0,0
3,0,1
4,0,1
5,0,0
6,0,1
7,0,0
8,0,0
9,2,1
10,0,4
11,0,0
12,0,1
13,0,3
14,0,22
15,0,144
16,0,32
17,0,70
18,0,26
19,0,13
20,0,8
21,0,40
22,0,0
23,0,4
24,0,0
25,0,4
26,0,3
27,0,1
28,0,1
29,0,7
30,0,0
31,0,3
32,0,0
33,0,1
34,0,0
35,1,1
36,0,179
37,0,1
38,1,0
39,0,1
40,0,0
41,0,0
42,0,1
43,31,12
44,0,8
45,0,12
46,0,16
47,0,13
48,0,11
49,0,12
50,1,1
51,0,11
52,49,13
53,0,11
54,0,9
55,0,15
56,0,20
57,0,8
58,0,8
59,0,12
60,0,0
61,0,1
62,0,0
63,0,1
64,0,2
65,0,1
66,0,0
67,10,3
68,0,0
69,1,0
70,1,0
71,0,2
72,0,0
73,0,384
74,0,1
75,0,10
76,6,2
77,0,0
78,0,1
79,0,5
80,0,5
81,0,1
82,1,0
83,0,1
84,0,3
85,0,1
86,0,0
87,0,1
88,0,1
89,0,0
90,0,1
91,3,0
92,0,1
93,0,0
94,0,0
95,0,1
96,21,4
97,0,0
98,0,2
99,0,2
100,8,2
