TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,3,0
1,0,0
2,0,2
3,0,0
4,0,3
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,1
11,0,0
12,0,1
13,0,0
14,0,0
15,0,1
16,0,1
17,0,1
18,0,1
19,0,1
20,0,0
21,0,1
22,0,1
23,0,0
24,0,1
25,0,2
26,0,2
27,0,0
28,0,1
29,0,1
30,0,0
31,0,1
32,0,1
33,0,1
34,3,2
35,0,0
36,0,2
37,0,0
38,0,1
39,0,1
40,0,1
41,0,0
42,0,2
43,0,1
44,0,1
45,0,0
46,0,2
47,0,0
48,0,7
49,0,1
50,0,1
51,0,0
52,0,1
53,0,1
54,0,0
55,0,2
56,0,3
57,0,1
58,0,1
59,0,0
60,0,1
61,0,0
62,0,1
63,0,11
64,0,1
65,0,1
66,0,0
67,0,1
68,9,1
69,0,2
70,0,1
71,0,1
72,0,1
73,0,3
74,0,0
75,0,0
76,0,1
77,0,0
78,0,0
79,9,1
80,0,0
81,0,3
