TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,52,37
1,70,119
2,74,32
3,75,161
4,52,42
5,73,30
6,63,43
7,64,26
8,88,37
9,63,43
10,41,19
11,70,27
12,70,24
13,60,32
14,52,46
15,52,44
16,52,37
17,70,115
18,74,26
19,75,32
20,52,40
21,73,28
22,63,41
23,64,24
24,88,35
25,63,36
26,41,17
27,70,25
28,70,25
29,60,26
30,52,40
31,52,37
32,52,39
33,70,105
34,74,27
35,75,28
36,52,36
37,73,28
38,63,38
39,64,24
40,88,36
41,63,45
42,41,27
43,70,33
44,70,34
45,60,87
46,52,46
47,52,44
48,52,44
49,70,133
50,74,32
51,75,32
52,52,47
53,73,30
54,63,43
55,64,27
56,88,34
57,63,45
58,41,17
59,70,27
60,70,28
61,60,28
62,52,41
63,52,40
64,52,38
65,70,111
66,74,29
67,75,38
68,52,54
69,73,34
70,63,45
71,64,26
72,88,33
73,63,48
74,41,22
75,70,28
76,70,28
77,60,32
78,52,42
79,52,37
80,52,38
81,70,116
82,74,27
83,75,29
84,52,41
85,73,76
86,63,43
87,64,32
88,88,42
89,63,47
90,41,19
91,70,30
92,70,29
93,60,32
94,52,46
95,52,53
96,62,31
97,70,159
98,74,35
99,75,36
