TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,3,0
1,0,0
2,8,3
3,0,0
4,15,4
5,6,2
6,9,1
7,2,0
8,5,1
9,13,1
10,5,1
11,3,0
12,11,1
13,2,1
14,3,0
15,6,1
16,8,1
17,11,1
18,5,3
19,5,1
20,6,1
21,7,1
22,4,1
23,7,0
24,8,2
25,6,2
26,5,1
27,3,1
28,8,0
29,7,1
30,3,0
31,5,2
32,7,1
33,4,1
34,3,1
35,5,0
36,15,4
37,1,0
38,17,2
39,2,1
40,10,1
41,10,1
42,8,5
43,12,1
44,5,0
45,12,1
46,8,0
47,7,2
48,33,10
49,9,2
50,9,1
51,7,11
52,3,1
53,3,1
54,10,1
55,21,21
56,22,3
57,0,0
58,8,2
59,10,0
60,9,1
61,8,1
62,5,0
63,46,19
64,15,3
65,4,0
66,4,2
67,3,0
68,11,1
69,19,1
70,10,2
71,2,1
72,13,5
73,0,2
74,2,1
75,2,0
76,2,0
77,11,0
78,7,1
79,8,0
80,3,1
81,14,3
