TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,1,0
1,10,2
2,17,5
3,6,2
4,25,7
5,12,3
6,11,4
7,6,1
8,15,8
9,13,4
10,11,3
11,5,3
12,11,5
13,4,1
14,11,3
15,10,3
16,9,4
17,12,4
18,16,4
19,12,2
20,14,12
21,7,3
22,11,3
23,9,3
24,15,5
25,19,5
26,13,9
27,11,4
28,7,5
29,11,1
30,5,1
31,15,7
32,9,6
33,13,1
34,10,4
35,5,3
36,18,3
37,5,1
38,17,2
39,15,2
40,10,4
41,7,2
42,17,4
43,12,3
44,9,4
45,9,4
46,9,1
47,13,9
48,41,9
49,17,5
50,8,2
51,14,2
52,14,2
53,11,7
54,12,2
55,29,5
56,24,8
57,8,3
58,13,3
59,9,4
60,15,3
61,13,3
62,7,2
63,58,189
64,21,9
65,11,4
66,10,2
67,9,3
68,6,1
69,13,7
70,14,3
71,12,5
72,17,3
73,20,4
74,10,5
75,10,4
76,10,5
77,4,5
78,7,2
79,8,5
80,9,5
81,22,6
