TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,10,3
1,1,3
2,13,4
3,1,3
4,37,23
5,2,2
6,28,35
7,3,13
8,1,7
9,1,7
10,5,4
11,6,8
12,1,6
13,48,18
14,10,8
15,2,4
16,5,7
17,4,4
18,6,7
19,11,8
20,12,10
21,6,4
22,1,3
23,21,10
24,2,3
25,21,7
26,8,12
27,14,4
28,32,9
29,40,16
30,46,15
31,6,4
32,10,3
33,9,5
34,7,7
35,22,11
36,1,4
37,1,2
38,6,7
39,2,2
40,36,32
41,21,9
42,1,2
43,9,6
44,7,4
45,1,2
46,24,9
47,1,5
48,4,2
49,12,10
50,2,3
51,20,7
52,12,9
53,38,19
54,11,2
55,25,10
56,1,3
57,6,3
58,2,3
59,51,14
60,32,17
61,12,3
62,29,18
63,15,13
64,61,61
65,2,6
66,18,7
67,17,17
68,23,11
69,31,13
70,29,29
71,8,6
72,18,10
73,2,5
74,9,7
75,26,10
76,21,10
77,10,3
78,6,6
79,1,5
80,19,10
81,6,4
82,6,4
83,27,9
84,1,3
85,27,17
86,72,82
87,1,4
88,45,26
89,6,7
90,21,13
91,54,23
92,44,24
93,17,14
94,46,14
95,31,66
96,45,17
97,23,12
98,1,3
99,35,13
100,13,6
