TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,10,2
1,0,2
2,0,1
3,0,3
4,0,9
5,0,1
6,0,1
7,3,5
8,0,1
9,0,2
10,0,1
11,0,2
12,0,2
13,0,1
14,0,4
15,0,1
16,0,2
17,0,1
18,0,2
19,0,2
20,0,2
21,0,2
22,0,1
23,0,2
24,1,2
25,0,1
26,0,2
27,0,1
28,0,3
29,0,5
30,0,2
31,2,3
32,0,1
33,0,3
34,0,4
35,0,3
36,0,1
37,0,1
38,0,3
39,0,1
40,0,6
41,0,3
42,0,1
43,0,2
44,7,7
45,0,2
46,0,1
47,0,1
48,4,3
49,0,3
50,0,1
51,0,2
52,0,4
53,0,4
54,0,1
55,0,4
56,0,2
57,0,2
58,0,1
59,0,2
60,0,4
61,0,1
62,0,9
63,0,2
64,0,13
65,0,0
66,0,3
67,4,6
68,0,1
69,0,2
70,0,1
71,0,3
72,10,14
73,0,1
74,0,3
75,0,2
76,0,2
77,2,2
78,0,2
79,0,3
80,17,10
81,0,2
82,0,2
83,0,3
84,0,1
85,0,5
86,0,5
87,0,3
88,0,8
89,6,4
90,0,4
91,0,3
92,0,9
93,0,6
94,0,1
95,0,6
96,0,2
97,0,5
98,0,1
99,0,3
100,0,3
