TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,6,22
1,1,0
2,88,141
3,10,5
4,2,3
5,6,8
6,3,3
7,4,6
8,8,3
9,14,5
10,10,6
11,7,0
12,10,6
13,5,4
14,13,8
15,9,4
16,11,5
17,17,7
18,7,9
19,6,4
20,6,2
21,12,9
22,2,5
23,2,29
24,15,6
25,4,2
26,7,3
27,4,4
28,2,0
29,3,4
30,10,2
31,10,4
32,14,7
33,9,0
34,6,0
35,8,7
36,4,1
37,14,6
38,6,1
39,11,3
40,6,2
41,38,20
42,4,2
43,10,9
44,17,7
45,22,12
46,13,5
47,11,4
48,7,1
49,11,10
50,6,2
51,11,3
52,9,4
53,8,5
54,7,2
55,21,12
56,4,8
57,2,2
58,8,3
59,16,6
60,13,3
61,6,2
62,9,0
63,16,7
64,7,3
65,3,2
66,15,5
67,16,4
68,14,3
69,1,0
70,14,6
71,23,9
72,11,4
73,11,5
74,2,1
75,11,3
76,12,6
77,5,3
78,12,5
79,22,8
80,18,2
81,4,5
82,7,1
83,10,5
84,16,3
85,15,6
86,2,1
87,11,15
88,11,3
89,15,3
90,12,9
91,6,3
92,2,0
93,12,3
94,6,5
95,14,9
96,14,5
97,14,4
98,6,3
99,1,0
100,14,1
101,15,6
102,6,2
103,22,8
104,5,1
105,6,0
106,8,3
107,8,4
108,12,5
109,10,4
110,7,5
111,3,6
112,7,4
113,10,9
114,13,4
115,5,5
116,8,3
117,9,6
118,18,8
119,18,9
120,6,5
121,21,10
122,12,4
123,21,5
124,5,3
125,7,2
126,7,2
127,10,3
128,19,0
129,6,6
130,11,3
131,5,5
132,10,2
133,10,2
134,23,4
135,13,7
136,20,6
137,10,6
138,3,2
139,16,3
140,7,1
141,11,5
142,10,2
143,15,3
144,15,6
145,18,4
146,17,5
147,3,2
148,9,3
149,2,2
150,23,5
151,12,1
152,11,2
153,26,5
154,17,7
155,13,8
156,5,5
157,7,2
158,13,11
159,20,4
160,11,7
161,11,4
162,15,5
163,9,3
164,12,3
165,7,4
166,7,4
167,10,9
168,9,7
169,17,8
170,8,5
171,29,17
172,8,5
173,2,2
174,13,3
175,24,8
176,9,2
177,8,0
178,7,6
179,8,3
180,9,4
181,17,5
182,7,2
183,11,3
184,9,3
185,13,3
186,16,5
187,9,4
188,11,2
189,11,0
190,28,15
191,14,5
192,17,9
193,7,1
194,12,5
195,13,3
196,10,16
197,19,5
198,10,1
199,18,6
200,5,2
201,7,2
202,10,0
203,7,0
204,4,9
205,15,6
206,10,4
207,10,1
208,7,0
209,19,9
210,10,4
211,10,5
212,18,3
213,8,3
214,11,4
215,8,3
216,3,4
217,17,5
218,25,8
219,12,0
220,8,0
221,7,8
222,8,1
223,15,4
224,7,1
225,7,2
226,10,4
227,5,1
228,7,0
229,5,5
230,7,2
231,14,8
232,13,4
233,15,2
234,10,5
235,6,1
236,12,2
237,8,0
238,13,6
239,9,2
240,9,1
241,3,5
242,10,3
243,5,3
244,11,2
245,12,4
246,7,2
247,3,0
248,16,6
249,4,1
250,11,3
251,16,3
252,15,1
253,17,6
254,12,0
255,24,8
256,7,1
257,5,1
258,10,0
259,14,0
260,12,9
261,14,4
262,10,5
263,10,8
264,12,3
265,11,2
266,11,0
267,7,7
268,10,1
269,9,0
270,11,4
271,9,0
272,6,5
273,11,3
274,12,0
275,2,0
276,9,0
277,10,11
278,14,5
279,9,2
280,8,2
281,4,1
282,19,4
283,15,4
284,8,0
285,4,2
286,20,0
287,18,9
288,2,0
289,21,16
290,8,2
291,5,4
292,10,0
293,19,8
294,10,3
295,11,5
296,22,9
297,14,6
298,21,16
299,4,0
300,11,9
301,11,1
302,12,2
303,6,2
304,15,4
305,10,2
306,6,0
307,11,0
308,3,0
309,13,8
310,8,2
311,1,2
312,12,2
313,20,4
314,10,2
315,13,3
316,24,45
317,10,3
318,12,8
319,7,4
320,8,1
321,9,2
322,5,4
323,15,5
324,6,3
325,7,4
326,14,11
327,6,2
328,14,4
329,7,3
330,15,3
331,10,2
332,15,3
333,15,4
334,10,5
335,6,0
336,12,0
337,7,11
338,10,0
339,18,10
340,7,3
341,10,4
342,10,3
343,24,19
344,17,7
345,20,3
346,8,0
347,6,0
348,32,13
349,19,7
350,6,0
351,13,10
352,6,1
353,10,4
354,12,2
355,10,3
356,7,2
357,8,2
358,13,4
359,7,3
360,8,3
361,13,6
362,21,4
363,4,1
364,20,4
365,21,5
366,5,3
367,13,3
368,12,2
369,12,5
370,2,1
371,3,0
372,43,60
373,13,1
374,4,0
375,27,10
376,10,4
377,8,5
378,58,33
379,22,8
380,73,34
381,42,9
382,45,35
383,35,21
384,10,11
385,8,0
386,8,0
387,2,0
388,3,6
389,7,1
390,15,11
391,3,1
392,21,19
393,10,1
394,10,0
395,4,10
396,9,0
397,10,9
398,3,0
399,17,9
400,9,0
401,4,12
402,2,1
403,19,7
404,6,1
405,4,0
406,3,0
407,16,10
408,8,0
409,7,10
410,4,1
411,11,6
412,7,4
413,4,0
414,15,9
415,9,0
416,17,12
417,8,2
418,15,7
419,9,3
420,12,3
421,21,13
422,16,9
423,12,7
424,3,2
425,6,2
426,6,0
427,11,9
428,8,0
429,11,0
430,14,13
431,12,6
432,1,0
433,2,0
434,15,10
435,6,3
436,18,15
437,3,3
438,6,0
439,2,0
440,8,9
441,11,11
442,5,3
443,2,2
444,6,4
445,12,0
446,11,4
447,13,8
448,35,29
449,13,0
450,7,9
451,11,1
452,10,8
453,9,1
454,9,0
455,15,23
456,9,3
457,16,5
458,16,0
459,5,0
460,11,11
461,14,7
462,9,2
463,11,10
464,18,19
465,4,1
466,9,0
467,12,8
468,8,1
469,14,0
470,9,6
471,4,1
472,11,4
473,5,0
474,6,4
475,8,1
476,5,0
477,16,0
478,17,12
479,2,2
480,14,0
481,24,7
482,13,5
483,10,4
484,3,1
485,10,3
486,22,8
487,13,7
488,9,2
489,12,0
490,18,10
491,8,0
492,12,0
493,15,9
494,12,6
495,3,3
496,5,2
497,21,9
498,11,0
499,12,0
500,19,11
501,9,0
502,20,9
503,13,0
504,14,0
505,4,5
506,16,11
507,7,0
508,6,10
509,8,2
510,21,8
511,9,2
512,3,3
513,7,4
514,11,1
515,9,0
516,8,0
517,3,9
518,7,1
519,7,2
520,6,2
521,6,2
522,4,1
523,2,2
524,19,11
525,17,3
526,5,2
527,14,3
528,10,3
529,15,4
530,19,3
531,13,4
532,11,2
533,10,4
534,11,4
535,22,5
536,1,1
537,3,2
538,4,3
539,15,6
540,15,0
541,12,0
542,7,9
543,4,2
544,4,2
545,8,0
546,4,0
547,13,7
548,7,0
549,10,0
550,9,0
551,12,10
552,16,3
553,16,7
554,27,22
555,14,0
556,4,0
557,12,7
558,8,2
559,12,0
560,6,5
561,32,5
562,11,0
563,8,0
564,16,12
565,5,1
566,3,2
567,17,3
568,6,2
569,11,3
570,7,2
571,4,1
572,8,3
573,13,2
574,10,0
575,19,15
576,16,3
577,20,0
578,5,0
579,11,0
580,11,12
581,7,0
582,12,8
583,20,12
584,18,0
585,4,0
586,8,1
587,8,0
588,15,0
589,19,0
590,18,15
591,5,0
592,4,0
593,12,5
594,18,0
595,6,0
596,21,11
597,13,4
598,5,4
599,6,1
600,12,1
601,9,0
602,17,9
603,16,0
604,6,0
605,6,0
606,23,16
607,16,5
608,16,4
609,20,6
610,10,0
611,19,0
612,12,10
613,32,8
614,12,0
615,11,0
616,13,10
617,11,3
618,8,2
619,24,9
620,23,6
621,4,0
622,15,4
623,15,5
624,13,2
625,3,0
626,15,7
627,31,6
628,17,3
629,17,5
630,15,0
631,12,6
632,17,1
633,5,4
634,4,3
635,9,3
636,12,1
637,7,0
638,14,0
639,11,9
640,19,11
641,21,11
642,17,1
643,16,7
644,9,1
645,10,0
