TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING,TraceId,Cost,Time
0,0,16,0,0,1
1,3,11,1,2,2
2,11,23,2,11,11
3,6,11,3,1,5
4,11,15,4,11,11
5,19,22,5,12,61
6,17,18,6,17,28
7,3,1,7,3,2
8,37,50,8,37,71
9,16,8,9,16,20
10,23,20,10,2,22
11,4,2,11,2,2
12,2,2,12,2,1
13,21,23,13,20,67
14,12,10,14,8,10
15,8,2,15,2,4
16,7,0,16,7,3
17,15,23,17,15,31
18,14,18,18,14,20
19,17,9,19,17,14
20,9,3,20,9,5
21,23,20,21,16,31
22,5,8,22,2,2
23,10,9,23,10,15
24,5,0,24,5,5
25,18,0,25,18,24
26,20,32,26,16,38
27,28,37,27,16,51
28,24,21,28,24,26
29,18,15,29,18,30
30,7,1,30,7,3
31,15,0,31,15,8
32,9,15,32,9,4
33,26,34,33,1,23
34,43,47,34,43,112
35,11,16,35,11,16
36,16,15,36,1,13
37,7,0,37,7,6
38,16,23,38,12,22
39,11,4,39,4,8
40,18,15,40,18,12
41,20,29,41,10,18
42,11,75,42,12,15
43,16,17,43,16,24
44,20,27,44,1,12
45,25,39,45,25,54
46,12,10,46,12,18
47,9,3,47,9,4
48,19,11,48,19,19
49,32,27,49,32,40
50,22,30,50,1,16
51,19,10,51,15,37
52,13,6,52,13,6
53,13,1,53,13,10
54,15,8,54,15,8
55,17,4,55,17,16
56,12,8,56,5,8
57,69,59,57,69,428
58,6,0,58,4,6
59,3,3,59,3,2
60,34,10,60,34,57
61,27,29,61,23,62
62,22,14,62,18,49
63,21,8,63,21,22
64,17,5,64,17,15
65,16,9,65,10,17
66,21,2,66,14,27
67,10,0,67,10,18
68,14,0,68,14,23
69,56,51,69,56,180
70,14,2,70,1,9
71,7,5,71,2,3
72,27,3,72,27,34
73,16,0,73,12,23
74,19,14,74,19,16
75,26,9,75,27,73
76,2,2,76,2,1
77,12,1,77,12,19
78,16,0,78,16,25
79,47,105,79,47,155
80,24,8,80,24,38
81,34,20,81,34,73
82,7,3,82,7,10
83,16,5,83,16,32
84,18,8,84,18,34
85,18,13,85,18,38
86,15,0,86,11,22
87,23,0,87,16,29
88,40,20,88,40,46
89,19,0,89,8,21
90,9,0,90,2,5
91,5,14,91,5,3
92,34,1,92,34,73
93,18,17,93,14,110
94,19,1,94,2,46
95,12,0,95,1,12
96,24,0,96,1,36
97,20,17,97,21,94
98,4,0,98,3,5
99,11,12,99,12,40
100,30,1,100,30,75
101,13,17,101,13,10
102,22,2,102,22,27
103,12,0,103,12,22
104,42,17,104,42,165
105,27,26,105,22,82
106,13,31,106,11,37
107,8,2,107,1,4
108,9,3,108,9,7
109,22,11,109,22,43
110,18,8,110,1,19
111,28,0,111,28,63
112,30,28,112,30,64
113,72,83,113,72,285
114,14,18,114,14,34
115,25,22,115,2,34
116,13,4,116,8,12
117,14,7,117,10,16
118,30,20,118,2,32
119,19,7,119,19,21
120,45,20,120,45,147
121,10,0,121,2,5
122,28,27,122,28,48
123,24,12,123,24,47
124,10,6,124,10,25
125,16,2,125,16,47
126,42,30,126,42,195
127,10,7,127,1,7
128,26,16,128,26,51
129,66,53,129,66,347
130,16,4,130,16,26
131,23,0,131,19,44
132,27,14,132,27,39
133,24,3,133,24,21
134,20,0,134,20,44
135,8,10,135,2,4
136,4,1,136,1,3
137,21,6,137,14,27
138,13,4,138,13,10
139,23,10,139,16,30
140,25,5,140,25,36
141,10,2,141,5,13
142,30,0,142,31,85
143,27,21,143,20,57
144,18,3,144,18,17
145,23,7,145,16,30
146,7,2,146,7,3
147,16,5,147,17,37
148,14,2,148,14,27
149,32,11,149,32,67
150,32,6,150,32,38
151,61,32,151,61,291
152,18,3,152,18,14
153,21,1,153,21,16
154,20,0,154,20,19
155,8,0,155,8,10
156,28,17,156,28,41
157,33,6,157,33,44
158,11,0,158,11,8
159,22,6,159,22,29
160,18,0,160,14,32
161,6,9,161,2,3
162,23,5,162,23,25
163,15,2,163,15,12
164,8,2,164,7,11
165,8,1,165,8,10
166,5,1,166,5,6
167,14,1,167,14,27
168,12,0,168,7,12
169,13,8,169,14,26
170,21,5,170,12,24
171,16,4,171,12,19
172,12,0,172,12,18
173,23,0,173,23,21
174,17,10,174,17,16
175,13,3,175,2,14
176,32,8,176,32,85
177,12,4,177,12,18
178,57,37,178,57,217
179,14,2,179,14,42
180,26,7,180,26,49
181,14,4,181,10,20
182,23,7,182,23,56
183,68,31,183,68,280
184,19,0,184,14,38
185,50,37,185,50,136
186,15,3,186,15,11
187,13,5,187,13,9
188,20,1,188,14,29
189,57,31,189,57,255
190,26,10,190,26,28
191,10,1,191,10,6
192,15,4,192,14,34
193,26,9,193,20,69
194,80,44,194,80,748
195,11,0,195,11,16
196,28,25,196,29,124
197,25,6,197,16,58
198,24,6,198,16,58
199,16,3,199,7,33
200,24,0,200,24,66
201,14,0,201,14,9
202,23,20,202,17,50
203,26,4,203,26,45
204,14,0,204,14,26
205,16,20,205,16,12
206,14,4,206,15,38
207,14,5,207,14,28
208,22,13,208,23,59
209,15,5,209,10,21
210,21,1,210,14,30
211,23,14,211,24,50
212,26,14,212,26,46
213,17,6,213,10,23
214,25,2,214,14,35
215,14,13,215,8,14
216,23,3,216,23,25
217,4,0,217,3,3
218,13,8,218,14,23
219,12,7,219,12,25
220,77,52,220,77,395
221,14,5,221,14,27
222,14,5,222,7,13
223,7,2,223,3,4
224,38,20,224,38,89
225,32,7,225,32,59
226,70,67,226,70,372
227,6,4,227,5,10
228,18,8,228,10,23
229,16,10,229,16,37
230,9,3,230,10,17
231,8,0,231,8,6
232,34,17,232,34,58
233,20,12,233,20,48
234,27,17,234,21,77
235,18,7,235,12,29
236,10,0,236,10,19
237,17,6,237,17,22
238,106,120,238,106,1319
239,18,10,239,18,31
240,48,23,240,48,164
241,44,23,241,44,106
242,28,2,242,28,52
243,15,0,243,6,10
244,16,13,244,16,37
245,16,10,245,16,31
246,18,7,246,18,37
247,23,6,247,23,38
248,2,1,248,1,7
249,17,5,249,17,32
250,12,2,250,5,10
251,20,0,251,20,39
252,22,17,252,22,55
253,29,1,253,29,76
254,14,13,254,14,24
255,24,5,255,24,82
256,30,15,256,31,144
257,48,17,257,48,139
258,14,0,258,14,35
259,18,17,259,19,50
260,16,0,260,2,17
261,22,15,261,22,40
262,9,1,262,10,18
263,48,26,263,48,232
264,10,2,264,10,4
265,44,24,265,44,146
266,22,3,266,22,23
267,20,0,267,20,60
268,28,14,268,1,32
269,48,19,269,48,178
270,35,14,270,35,100
271,28,3,271,28,50
272,12,0,272,12,27
273,12,0,273,12,30
274,16,0,274,16,20
275,38,22,275,1,64
276,12,0,276,12,27
277,10,0,277,10,25
278,37,19,278,37,103
279,11,0,279,2,7
280,16,10,280,16,30
281,15,4,281,15,32
282,19,2,282,12,37
283,16,0,283,16,19
284,8,0,284,8,9
285,22,7,285,23,98
286,22,0,286,22,66
287,41,15,287,41,165
288,25,11,288,25,53
289,12,0,289,12,20
290,12,0,290,12,19
291,30,0,291,30,70
292,24,21,292,19,55
293,66,25,293,66,266
294,29,0,294,29,42
295,11,18,295,9,19
296,28,4,296,28,48
297,22,12,297,22,28
298,46,17,298,46,150
299,26,6,299,26,45
300,12,2,300,12,11
301,14,1,301,14,30
302,2,2,302,2,1
303,12,1,303,12,17
304,23,10,304,12,38
305,22,9,305,16,39
306,12,2,306,12,18
307,19,3,307,15,36
308,18,7,308,18,55
309,16,0,309,16,45
310,35,14,310,35,114
311,29,4,311,29,29
312,16,8,312,12,22
313,21,1,313,21,32
314,25,8,314,19,59
315,22,3,315,17,63
316,27,12,316,21,86
317,14,2,317,7,32
318,89,48,318,89,740
319,29,23,319,19,68
320,16,1,320,16,14
321,27,13,321,27,73
322,18,3,322,2,12
323,19,1,323,12,21
324,20,0,324,20,42
325,12,14,325,12,19
326,14,4,326,14,26
327,37,11,327,37,92
328,18,7,328,18,36
329,14,3,329,14,24
330,30,8,330,30,44
331,14,6,331,14,23
332,65,30,332,65,341
333,27,11,333,20,49
334,30,7,334,30,31
335,7,0,335,8,9
336,17,4,336,17,27
337,21,9,337,14,30
338,34,11,338,1,48
339,11,1,339,11,11
340,20,4,340,20,21
341,16,3,341,16,33
342,64,28,342,64,353
343,18,8,343,19,40
344,18,4,344,12,23
345,16,4,345,16,35
346,36,3,346,36,82
347,38,18,347,38,57
348,10,2,348,10,13
349,22,5,349,22,24
350,29,4,350,21,60
351,21,10,351,2,18
352,14,6,352,14,49
353,16,0,353,16,23
354,8,0,354,8,4
355,16,9,355,16,26
356,20,5,356,12,27
357,42,17,357,42,71
