TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING,,pref cost,pref time
0,6,16,0,6,46
1,4,16,1,4,10
2,4,0,2,4,14
3,2,15,3,2,2
4,4,0,4,2,6
5,3,16,5,3,8
6,5,0,6,6,7
7,8,0,7,4,39
8,6,15,8,6,21
9,5,0,9,1,5
10,15,16,10,24,97
11,5,0,11,5,12
12,4,16,12,2,4
13,7,0,13,7,4
14,8,0,14,8,43
15,12,15,15,12,93
16,2,0,16,2,1
17,0,0,17,0,1
18,7,0,18,7,12
19,5,0,19,4,6
20,3,0,20,3,1
21,5,0,21,5,4
22,4,16,22,4,1
23,6,0,23,4,8
24,7,0,24,5,12
25,0,0,25,0,1
26,6,0,26,5,8
27,7,0,27,7,15
28,6,0,28,6,3
29,4,0,29,4,4
30,6,16,30,4,10
31,3,0,31,3,2
32,1,0,32,1,0
33,2,0,33,2,5
34,15,15,34,10,170
35,5,0,35,5,8
36,0,0,36,,
37,4,0,37,4,7
38,7,0,38,7,33
39,3,0,39,3,2
40,3,16,40,3,5
41,10,0,41,10,52
42,5,0,42,5,7
43,2,0,43,2,4
44,6,0,44,6,10
45,7,0,45,7,36
46,7,15,46,8,9
47,4,0,47,4,2
48,7,0,48,7,13
49,4,0,49,4,6
50,1,0,50,1,1
51,8,0,51,9,21
52,2,0,52,2,1
53,0,0,53,0,0
54,8,16,54,5,16
55,6,0,55,7,31
56,7,0,56,6,29
57,5,0,57,5,5
58,9,0,58,9,34
59,4,0,59,4,2
60,2,0,60,2,1
61,9,16,61,8,20
62,2,0,62,2,2
63,8,0,63,8,31
64,7,0,64,7,7
65,8,0,65,8,41
66,2,0,66,2,1
67,11,15,67,10,120
68,8,0,68,8,39
69,4,0,69,4,18
70,3,0,70,1,2
71,5,0,71,5,12
72,5,16,72,5,3
73,3,0,73,3,4
74,9,0,74,11,49
75,0,0,75,,
76,20,47,76,13,307
77,3,0,77,3,1
78,4,0,78,4,3
79,4,0,79,4,3
80,13,0,80,7,57
81,5,0,81,5,6
82,5,0,82,3,8
83,4,0,83,4,12
84,5,0,84,5,8
85,1,0,85,,
86,5,0,86,5,15
87,4,15,87,4,3
88,3,0,88,3,4
89,2,0,89,2,1
90,4,0,90,4,14
91,8,0,91,8,27
92,2,0,92,0,1
93,1,0,93,1,1
94,13,0,94,7,58
95,7,16,95,7,32
96,3,0,96,,
97,0,0,97,,
98,9,0,98,8,30
99,7,0,99,9,9
100,6,0,100,6,10
101,11,0,101,3,18
102,5,16,102,5,6
103,26,0,103,14,375
104,7,15,104,7,5
105,10,0,105,5,45
106,6,0,106,6,10
107,9,0,107,8,29
108,9,0,108,10,41
109,2,0,109,0,1
110,1,0,110,1,0
111,6,16,111,2,5
112,8,0,112,8,4
113,8,0,113,7,19
114,4,0,114,4,2
115,9,0,115,9,15
116,5,0,116,3,5
117,12,16,117,12,112
118,5,0,118,5,2
119,2,0,119,2,1
120,1,0,120,1,1
121,6,0,121,6,5
122,4,0,122,4,6
123,9,0,123,6,22
124,4,15,124,4,3
125,7,0,125,8,12
126,7,0,126,4,11
127,8,0,127,8,43
128,2,0,128,2,0
129,7,0,129,7,20
130,0,0,130,,
131,5,0,131,3,6
132,2,0,132,2,1
133,6,0,133,5,4
134,6,0,134,6,4
135,2,0,135,2,1
136,5,0,136,5,15
137,4,0,137,4,1
138,4,0,138,4,2
139,8,16,139,6,14
140,10,0,140,7,33
141,0,0,141,,
142,6,0,142,4,8
143,7,0,143,8,35
144,1,0,144,,
145,7,0,145,5,12
146,11,0,146,7,64
147,6,0,147,6,4
148,6,0,148,6,15
149,6,0,149,10,35
150,5,16,150,5,9
151,2,0,151,2,1
152,5,0,152,5,11
153,9,0,153,11,32
154,5,0,154,6,3
155,2,0,155,,
156,10,0,156,10,44
157,7,16,157,6,15
158,13,0,158,13,32
159,4,0,159,1,5
160,7,0,160,7,8
161,2,0,161,,
162,20,15,162,10,223
163,2,0,163,,
164,2,0,164,,
165,1,0,165,1,1
166,20,26,166,13,497
167,10,6,167,11,122
168,3,0,168,1,2
169,5,0,169,5,1
170,13,15,170,12,118
171,0,0,171,,
172,3,0,172,3,2
173,1,0,173,1,1
174,1,0,174,,
175,8,0,175,6,23
176,5,0,176,5,13
177,2,0,177,,
178,7,0,178,7,13
179,8,0,179,5,12
180,6,16,180,2,5
181,6,0,181,4,7
182,5,0,182,5,8
183,8,0,183,6,14
184,11,0,184,10,63
185,7,16,185,7,5
186,6,0,186,6,3
187,7,0,187,7,15
188,4,0,188,6,17
189,2,0,189,2,1
190,10,0,190,7,27
191,3,0,191,3,1
192,7,0,192,6,13
193,3,15,193,3,2
194,6,0,194,6,13
195,4,0,195,4,1
196,4,0,196,4,8
197,5,0,197,3,6
198,4,0,198,4,4
199,6,0,199,7,37
200,2,0,200,2,1
201,2,0,201,2,5
202,7,16,202,7,12
203,7,0,203,7,4
204,6,0,204,4,7
205,7,0,205,6,12
206,0,0,206,,
207,5,0,207,5,4
208,9,0,208,9,53
209,2,0,209,,
210,14,0,210,14,39
211,3,0,211,3,3
212,5,0,212,5,7
213,11,0,213,11,36
214,7,16,214,7,26
215,4,0,215,4,2
216,5,0,216,2,3
217,2,0,217,2,1
218,2,0,218,2,1
219,8,0,219,9,33
220,10,0,220,1,5
221,6,0,221,6,3
222,2,0,222,2,1
223,6,0,223,6,4
224,13,15,224,8,35
225,7,0,225,7,4
226,2,0,226,2,0
227,2,0,227,2,4
228,2,0,228,2,5
229,2,0,229,,
230,7,0,230,5,16
231,13,31,231,9,63
232,7,0,232,4,5
233,5,16,233,5,10
234,9,0,234,6,23
235,8,0,235,14,14
236,5,0,236,5,1
237,10,0,237,10,54
238,8,0,238,6,10
239,6,0,239,7,11
240,3,0,240,1,3
241,9,16,241,6,27
242,5,0,242,3,4
243,5,0,243,4,6
244,6,0,244,6,14
245,5,0,245,5,11
246,6,0,246,2,4
247,6,0,247,5,20
248,2,0,248,,
249,0,0,249,,
250,6,15,250,6,3
251,9,6,251,6,38
252,3,0,252,3,6
253,11,9,253,8,90
254,17,16,254,11,139
255,4,0,255,4,2
256,11,0,256,11,25
257,10,0,257,11,51
258,6,0,258,8,3
259,8,15,259,8,24
260,8,0,260,5,10
261,2,0,261,2,1
262,4,0,262,4,3
263,6,0,263,2,4
264,6,0,264,5,9
265,7,0,265,5,9
266,4,16,266,4,7
267,4,0,267,4,1
268,4,0,268,4,2
269,0,0,269,,
270,6,0,270,6,3
271,4,0,271,4,2
272,7,0,272,7,14
273,7,0,273,7,5
274,10,0,274,10,47
275,4,0,275,4,16
276,11,0,276,11,28
277,7,16,277,7,5
278,4,0,278,0,1
279,4,0,279,4,2
280,1,0,280,,
281,5,0,281,5,3
282,11,0,282,11,76
283,6,0,283,6,17
284,9,0,284,7,13
285,4,0,285,4,1
286,0,0,286,,
287,7,0,287,7,4
288,6,15,288,6,2
289,8,0,289,8,36
290,7,0,290,7,3
291,9,0,291,7,12
292,2,0,292,0,1
293,6,0,293,6,20
294,12,0,294,8,28
295,4,0,295,4,1
296,7,0,296,7,2
297,3,0,297,1,3
298,0,0,298,,
299,5,15,299,4,9
300,7,0,300,7,18
301,5,0,301,5,3
302,0,0,302,,
303,2,0,303,,
304,2,0,304,,
305,7,0,305,5,8
306,2,0,306,0,1
307,7,0,307,7,27
308,5,0,308,5,3
309,5,0,309,5,12
310,3,0,310,3,1
311,6,0,311,6,17
312,6,0,312,5,11
313,5,0,313,4,5
314,4,0,314,4,2
315,9,0,315,5,44
316,7,0,316,5,9
317,6,0,317,6,4
318,1,0,318,1,2
319,6,0,319,6,13
320,3,15,320,3,5
321,4,0,321,4,2
322,8,0,322,8,7
323,8,0,323,6,17
324,4,0,324,4,9
325,5,0,325,5,3
326,0,0,326,,
327,4,0,327,,
328,19,0,328,11,161
329,2,0,329,0,1
330,9,16,330,4,8
331,1,0,331,,
332,16,0,332,15,102
333,9,0,333,5,46
334,2,0,334,2,1
335,6,0,335,7,4
336,0,0,336,,
337,3,0,337,3,9
338,4,0,338,2,4
339,1,0,339,1,1
340,10,15,340,11,40
341,2,0,341,2,3
342,9,0,342,7,9
343,10,0,343,10,28
344,4,0,344,2,2
345,4,16,345,4,3
346,4,0,346,4,1
347,7,0,347,7,13
348,2,0,348,,
