TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,2,0
1,4,0
2,6,0
3,10,0
4,185,507
5,5,0
6,8,0
7,57,47
8,39,47
9,17,0
10,2,0
11,6,0
12,13,0
13,20,16
14,12,0
15,20,0
16,126,187
17,11,16
18,9,0
19,23,0
20,94,63
21,6,0
22,16,0
23,23,15
24,71,47
25,39,16
26,6,0
27,12,15
28,12,0
29,20,0
30,7,0
31,1,0
32,36,16
33,12,16
34,4,0
35,7,0
36,24,0
37,6,0
38,3,15
39,5,0
40,9,0
41,12,0
42,15,0
43,5,16
44,4,0
45,25,0
46,13,15
47,42,0
48,50,47
49,23,0
50,2,0
51,13,0
52,13,0
53,22,16
54,65,31
55,4,0
56,44,31
57,17,0
58,76,94
59,10,0
60,40,31
61,71,32
62,2,0
63,4,0
64,1,15
65,2,0
66,9,0
67,23,0
68,9,0
69,44,16
70,27,16
71,158,203
72,36,16
73,4,0
74,36,16
75,56,18
76,11,13
77,2,0
78,19,0
79,44,16
80,60,31
81,11,16
82,14,0
83,76,62
84,4,16
85,27,0
86,23,0
87,4,0
88,11,15
89,25,0
90,2,0
91,8,16
92,17,0
93,11,0
94,3,0
95,3,0
96,22,16
97,43,31
98,45,16
99,1,0
100,4,0
101,1,0
102,31,15
103,7,0
104,51,16
105,7,0
106,10,15
107,18,0
108,2,0
109,11,0
110,5,0
111,5,0
112,14,0
113,17,16
114,5,0
115,13,0
116,10,0
117,14,0
118,10,16
119,8,0
120,53,31
121,11,0
122,2,0
123,48,16
124,4,0
125,15,0
126,1,15
127,14,0
128,4,0
129,26,16
130,6,0
131,2,0
132,50,31
133,16,16
134,14,15
135,4,0
136,3,0
137,2,0
138,86,94
139,4,0
140,2,0
141,9,0
142,51,47
143,38,16
144,18,15
145,21,0
146,22,16
147,155,203
148,1,0
149,5,0
150,56,31
151,26,16
152,44,109
153,13,0
154,18,16
155,6,0
156,10,0
157,75,62
158,10,0
159,4,0
160,3,0
161,204,250
162,26,0
163,11,0
164,27,16
165,6,0
166,16,0
167,9,16
168,10,0
169,50,15
170,8,0
171,42,31
172,11,16
173,1,0
174,5,0
175,3,0
176,81,141
177,27,0
178,22,15
179,9,0
180,6,0
181,2,0
182,56,32
183,22,15
184,14,0
185,13,16
186,5,0
187,68,31
188,88,78
189,9,0
190,80,47
191,53,31
192,12,0
193,13,0
194,4,0
195,62,32
196,4,0
197,56,31
198,25,0
199,5,0
200,7,0
201,1,0
202,9,15
203,19,0
204,113,94
205,114,297
206,8,0
207,30,0
208,9,16
209,13,0
210,18,0
211,17,15
212,4,0
213,10,0
214,79,47
215,16,0
216,13,16
217,15,0
218,11,0
219,6,0
220,40,15
221,5,0
222,11,0
223,83,63
224,26,0
225,5,0
226,9,0
227,89,78
228,14,0
229,3,0
230,26,16
231,3,0
232,6,0
233,2,0
234,42,15
235,4,0
236,25,16
237,11,0
238,9,0
239,16,16
240,26,15
241,141,360
242,5,0
243,3,0
244,11,0
245,4,0
246,8,0
247,11,0
248,40,31
249,6,0
250,9,0
251,12,0
252,27,15
253,9,0
254,11,16
255,32,0
256,24,16
257,28,15
258,30,0
259,6,0
260,31,16
261,152,141
262,7,0
263,44,31
264,8,0
265,4,0
266,105,78
267,1,0
268,7,0
269,56,31
270,8,0
271,8,0
272,13,0
273,6,0
274,2,0
275,21,0
276,110,78
277,18,0
278,78,47
279,8,0
280,28,31
281,27,0
282,5,0
283,20,16
284,3,0
285,4,0
286,2,0
287,37,16
288,60,47
289,9,0
290,4,0
291,6,0
292,85,94
293,9,0
294,65,49
295,2,0
296,113,92
297,73,39
298,44,40
299,4,0
300,1,0
301,3,0
302,8,0
303,5,0
304,2,0
305,2,0
306,10,0
307,5,16
308,48,15
309,3,0
310,22,0
311,8,0
312,36,32
313,2,0
314,2,0
315,117,78
316,62,78
317,33,16
318,8,0
319,14,0
320,2,0
321,29,15
322,79,63
323,20,15
324,4,0
325,7,0
326,4,0
327,60,78
328,7,16
329,39,0
330,2,0
331,3,0
332,4,16
333,5,0
334,40,0
335,3,15
336,128,94
337,25,31
338,15,0
339,25,0
340,16,16
