TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,1,1
1,0,0
2,0,0
3,0,1
4,0,0
5,0,0
6,0,0
7,0,1
8,0,0
9,0,0
10,0,2
11,0,0
12,0,1
13,0,1
14,0,14
15,0,75
16,0,19
17,0,38
18,0,13
19,0,9
20,0,5
21,0,21
22,0,0
23,0,3
24,0,0
25,0,2
26,0,2
27,0,1
28,0,0
29,0,5
30,0,0
31,0,2
32,0,0
33,0,0
34,0,0
35,0,0
36,0,94
37,0,0
38,0,0
39,0,1
40,0,0
41,0,0
42,0,0
43,0,5
44,0,5
45,0,7
46,0,9
47,0,6
48,0,9
49,0,8
50,0,0
51,0,8
52,0,39
53,0,8
54,0,7
55,0,9
56,0,12
57,0,6
58,0,4
59,0,7
60,0,0
61,0,1
62,0,1
63,0,1
64,0,0
65,0,0
66,0,0
67,0,1
68,0,0
69,0,0
70,0,1
71,0,0
72,0,1
73,0,255
74,0,1
75,0,5
76,0,0
77,0,1
78,0,0
79,0,3
80,0,2
81,0,1
82,0,0
83,0,0
84,0,1
85,0,1
86,0,0
87,0,1
88,0,0
89,0,0
90,0,1
91,0,0
92,0,0
93,0,0
94,0,0
95,0,1
96,0,1
97,0,0
98,0,1
99,0,1
100,0,1
