TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,3,0
1,0,0
2,0,1
3,0,0
4,15,5
5,3,1
6,8,1
7,3,0
8,5,1
9,13,2
10,3,0
11,2,0
12,7,1
13,2,0
14,3,1
15,4,0
16,2,1
17,9,1
18,5,1
19,5,1
20,6,1
21,2,0
22,4,1
23,3,1
24,7,2
25,6,1
26,5,1
27,3,1
28,8,0
29,3,0
30,3,1
31,4,0
32,5,1
33,4,2
34,3,0
35,2,0
36,13,4
37,1,1
38,15,4
39,2,0
40,8,1
41,3,0
42,10,2
43,4,1
44,1,0
45,12,1
46,3,0
47,7,2
48,35,43
49,5,1
50,5,1
51,4,0
52,3,1
53,6,1
54,6,1
55,21,22
56,22,6
57,1,0
58,8,1
59,8,0
60,9,2
61,8,1
62,2,0
63,44,33
64,15,4
65,4,0
66,3,1
67,3,0
68,11,1
69,3,1
70,9,1
71,2,1
72,13,7
73,16,4
74,2,1
75,3,0
76,2,1
77,6,0
78,6,1
79,2,0
80,3,1
81,14,2
