TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,6,93
1,2,2143
2,4,3754
3,10,7268
4,5,342
5,1,842
6,1,1265
7,1,911
8,1,1086
9,2,1792
10,13,9156
11,5,2771
12,2,1587
13,22,8696
14,5,495
15,13,5295
16,4,4322
17,2,3828
18,2,1443
19,2,2838
20,2,1813
21,7,4179
22,2,1982
23,1,2495
24,1,693
25,1,556
26,21,16847
27,1,2665
28,2,2144
29,6,3038
30,2,3020
31,1,1645
32,2,4415
33,2,5116
34,1,1039
35,2,3021
36,2,2183
37,2,2058
38,1,1187
39,2,2664
40,1,945
41,2,2298
42,2,1814
43,4,717
44,2,1673
45,2,2215
46,4,3213
47,12,6396
48,2,2157
49,2,2259
50,5,894
51,1,1480
52,3,1002
53,25,19067
54,1,2856
55,8,4559
56,2,4367
57,1,1729
58,6,4518
59,12,12390
60,1,1857
61,1,823
62,2,1881
63,2,1408
64,2,1947
65,2,1611
66,2,1885
67,2,3524
68,2,2575
69,4,3497
70,1,1457
71,5,7459
72,14,6037
73,6,5056
74,8,3640
75,6,4799
76,60,22110
77,9,6073
78,2,2334
79,10,3539
80,2,1987
81,1,2169
82,2,2862
83,15,6181
84,7,3480
85,2,768
86,2,1642
87,1,936
88,1,1790
89,36,18899
90,2,2444
91,2,2198
92,1,3351
93,1,3175
94,2,3071
95,8,6441
96,10,3666
97,2,2384
98,2,2292
99,1,1232
100,2,1112
