TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,3,117
1,0,0
2,0,1
3,1,6537
4,0,0
5,0,1
6,0,1
7,0,0
8,0,1
9,0,2
10,0,14
11,0,4
12,0,3
13,0,21
14,0,1
15,0,15
16,0,12
17,0,13
18,0,5
19,0,2982
20,0,6
21,5,4531
22,0,7
23,0,10
24,0,3
25,0,2
26,0,7459
27,0,455
28,0,11
29,0,18
30,0,8
31,0,6
32,0,21
33,0,27
34,0,5
35,0,17
36,0,11
37,0,11
38,0,6
39,0,16
40,0,6
41,0,13
42,0,252
43,0,4
44,0,12
45,0,15
46,0,24
47,0,52
48,0,16
49,0,18
50,7,1029
51,0,15
52,0,9
53,0,209
54,0,34
55,0,43
56,0,45
57,0,547
58,0,53
59,0,130
60,0,19
61,0,10
62,0,20
63,0,16
64,0,23
65,0,20
66,0,1882
67,0,43
68,0,31
69,0,45
70,0,209
71,0,97
72,0,84
73,0,68
74,0,54
75,0,68
76,0,346
77,0,135
78,0,38
79,0,58
80,0,33
81,0,38
82,0,49
83,0,108
84,0,61
85,0,14
86,0,29
87,0,16
88,0,33
89,0,354
90,0,46
91,0,45
92,0,783
93,0,61
94,0,60
95,0,127
96,0,79
97,0,47
98,0,49
99,0,25
100,0,111
