TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,19,76
1,0,4
2,0,5
3,0,8
4,22,17
5,0,9
6,33,23
7,0,14
8,0,21
9,0,16
10,19,7
11,0,18
12,0,19
13,0,24
14,21,17
15,19,17
16,19,17
17,0,2
18,0,5
19,0,6
20,22,17
21,0,9
22,33,22
23,0,12
24,0,25
25,0,16
26,19,8
27,0,23
28,0,19
29,0,22
30,21,18
31,19,18
32,19,25
33,0,4
34,0,8
35,0,9
36,22,24
37,0,13
38,33,29
39,0,16
40,0,32
41,0,21
42,19,7
43,0,23
44,0,19
45,0,22
46,21,17
47,19,17
48,19,16
49,0,4
50,0,6
51,0,7
52,22,21
53,0,9
54,33,23
55,0,10
56,0,22
57,0,16
58,19,7
59,0,18
60,0,18
61,0,21
62,21,16
63,19,21
64,19,16
65,0,3
66,0,6
67,0,6
68,22,17
69,0,10
70,33,22
71,0,11
72,0,24
73,0,16
74,19,8
75,0,17
76,0,19
77,0,25
78,21,16
79,19,17
80,19,17
81,0,2
82,0,5
83,0,6
84,22,17
85,0,9
86,33,22
87,0,13
88,0,26
89,0,20
90,19,7
91,0,17
92,0,19
93,0,21
94,21,17
95,19,16
96,0,1
97,0,3
98,0,4
99,0,7
