TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,43,7021
1,55,9880
2,54,9718
3,55,9995
4,43,6347
5,53,9448
6,50,9179
7,47,7028
8,69,13868
9,50,9121
10,23,2218
11,50,8278
12,50,8289
13,51,8233
14,43,6377
15,43,6364
16,43,6377
17,55,9850
18,54,9696
19,55,10030
20,43,6284
21,53,9462
22,50,9120
23,47,7045
24,69,13757
25,50,9093
26,23,2204
27,50,8248
28,50,8265
29,51,8913
30,43,6330
31,43,6348
32,43,6284
33,55,9808
34,54,9749
35,55,10004
36,43,6304
37,53,9423
38,50,9111
39,47,7058
40,69,13816
41,50,9137
42,23,2206
43,50,8393
44,50,8265
45,51,8242
46,43,6306
47,43,6311
48,43,6348
49,55,9789
50,54,9591
51,55,9947
52,43,6332
53,53,9453
54,50,9100
55,47,7110
56,69,13762
57,50,9099
58,23,2210
59,50,8284
60,50,8334
61,51,8276
62,43,6356
63,43,6342
64,43,6326
65,55,9817
66,54,9716
67,55,10024
68,43,6266
69,53,9481
70,50,9173
71,47,7085
72,69,13834
73,50,9165
74,23,2212
75,50,8311
76,50,8284
77,51,8297
78,43,6340
79,43,6399
80,43,6352
81,55,9788
82,54,9737
83,55,9940
84,43,6357
85,53,9617
86,50,9169
87,47,7098
88,69,13878
89,50,9224
90,23,2221
91,50,8298
92,50,8318
93,51,8251
94,43,6369
95,43,6363
96,46,6593
97,55,9897
98,54,9593
99,55,9901
