TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,3,0
1,0,0
2,0,6
3,0,1
4,14,10
5,3,3
6,8,3
7,2,2
8,5,4
9,8,3
10,3,3
11,2,2
12,5,4
13,2,1
14,3,3
15,4,2
16,2,2
17,5,4
18,5,3
19,3,3
20,6,3
21,2,2
22,3,4
23,3,3
24,7,4
25,6,6
26,5,3
27,2,3
28,3,1
29,3,3
30,2,1
31,4,3
32,5,5
33,4,4
34,3,2
35,2,1
36,11,10
37,1,1
38,8,5
39,2,3
40,5,3
41,3,3
42,8,4
43,4,3
44,1,3
45,4,3
46,3,3
47,7,3
48,27,22
49,5,5
50,4,3
51,4,3
52,3,3
53,5,4
54,3,5
55,18,10
56,16,9
57,1,1
58,5,4
59,5,6
60,7,3
61,6,4
62,2,2
63,43,36
64,9,6
65,4,3
66,3,2
67,3,3
68,6,5
69,3,3
70,5,5
71,2,3
72,10,7
73,8,9
74,2,5
75,3,2
76,2,3
77,2,1
78,5,2
79,2,2
80,3,3
81,12,7
