TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,3,3
1,0,1
2,0,4
3,0,1
4,0,8
5,0,4
6,0,5
7,0,3
8,0,7
9,0,7
10,0,5
11,0,3
12,0,21
13,0,3
14,0,10
15,0,11
16,0,10
17,0,13
18,0,14
19,0,12
20,0,15
21,0,8
22,0,11
23,0,10
24,0,16
25,0,22
26,0,16
27,0,13
28,0,9
29,0,14
30,0,14
31,0,20
32,0,13
33,0,19
34,2,40
35,0,8
36,0,29
37,0,6
38,0,26
39,0,20
40,0,20
41,0,11
42,0,30
43,0,23
44,0,17
45,0,15
46,0,15
47,0,23
48,0,104
49,0,31
50,0,18
51,0,22
52,0,25
53,0,24
54,0,23
55,0,76
56,0,64
57,0,17
58,0,31
59,0,30
60,0,29
61,0,34
62,0,19
63,0,241
64,0,55
65,0,31
66,0,23
67,0,21
68,5,37
69,0,34
70,0,51
71,0,37
72,0,66
73,0,100
74,0,43
75,0,36
76,0,35
77,0,15
78,0,27
79,2,32
80,0,37
81,0,94
