TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,3,4
1,0,0
2,0,5
3,0,1
4,0,12
5,0,4
6,0,6
7,0,2
8,0,7
9,0,12
10,0,7
11,0,4
12,0,9
13,0,6
14,0,12
15,0,9
16,0,12
17,0,11
18,0,15
19,0,12
20,0,26
21,0,8
22,0,11
23,0,13
24,0,19
25,0,27
26,0,22
27,0,13
28,0,16
29,0,21
30,0,11
31,0,31
32,0,21
33,0,33
34,0,18
35,0,13
36,0,41
37,0,9
38,0,34
39,0,33
40,0,29
41,0,23
42,0,52
43,0,30
44,0,21
45,0,23
46,0,20
47,0,31
48,1,281
49,0,39
50,0,24
51,0,29
52,0,34
53,0,31
54,0,33
55,0,99
56,0,83
57,0,23
58,0,47
59,0,32
60,0,39
61,0,58
62,0,27
63,0,316
64,0,75
65,0,39
66,0,31
67,0,29
68,0,38
69,0,44
70,0,82
71,0,56
72,0,89
73,0,100
74,0,42
75,0,48
76,0,43
77,0,19
78,0,32
79,0,37
80,0,41
81,0,125
