TraceId, Cost_DISTANCE, ExecutionTime_DISTANCE
0,1,0
1,7,130
2,15,280
3,4,59
4,23,485
5,8,162
6,11,173
7,5,72
8,12,214
9,11,194
10,8,127
11,5,71
12,7,126
13,2,41
14,8,131
15,8,148
16,7,124
17,10,177
18,13,210
19,9,146
20,13,214
21,6,90
22,9,148
23,8,132
24,14,235
25,18,323
26,12,191
27,9,146
28,5,77
29,8,131
30,5,67
31,12,211
32,8,129
33,10,173
34,7,127
35,4,62
36,16,292
37,3,51
38,13,234
39,12,196
40,6,118
41,4,91
42,15,278
43,10,181
44,8,127
45,6,117
46,5,101
47,12,196
48,38,1040
49,15,253
50,6,113
51,10,162
52,11,178
53,10,163
54,9,144
55,24,522
56,24,479
57,6,94
58,11,195
59,8,128
60,12,182
61,12,196
62,5,95
63,55,1828
64,18,349
65,9,163
66,7,113
67,6,106
68,6,114
69,11,177
70,14,257
71,11,176
72,17,322
73,20,418
74,7,181
75,8,164
76,7,163
77,3,51
78,5,84
79,7,120
80,6,126
81,20,454
