TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,67,4
1,0,5
2,0,5
3,0,4
4,73,6
5,0,4
6,80,10
7,0,2
8,0,7
9,0,4
10,31,1
11,0,4
12,0,4
13,0,4
14,71,5
15,67,5
16,67,6
17,0,13
18,0,4
19,0,5
20,73,6
21,0,5
22,80,8
23,0,5
24,0,10
25,0,6
26,31,2
27,0,6
28,0,6
29,0,5
30,71,9
31,67,6
32,67,8
33,0,6
34,0,7
35,0,8
36,73,9
37,0,7
38,80,9
39,0,3
40,0,7
41,0,4
42,31,1
43,0,4
44,0,4
45,0,4
46,71,6
47,67,6
48,67,5
49,0,4
50,0,5
51,0,4
52,73,6
53,0,4
54,80,10
55,0,3
56,0,8
57,0,4
58,31,1
59,0,4
60,0,4
61,0,3
62,71,8
63,67,5
64,67,6
65,0,4
66,0,4
67,0,5
68,73,8
69,0,3
70,80,10
71,0,5
72,0,8
73,0,4
74,31,2
75,0,3
76,0,5
77,0,4
78,71,6
79,67,5
80,67,6
81,0,4
82,0,5
83,0,4
84,73,8
85,0,4
86,80,8
87,0,3
88,0,6
89,0,5
90,31,1
91,0,3
92,0,4
93,0,3
94,71,6
95,67,6
96,0,4
97,0,4
98,0,5
99,0,5
