TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,6,2
1,46,1609
2,37,1825
3,51,1725
4,90,1708
5,27,385
6,33,1745
7,57,2219
8,38,1708
9,40,1787
10,28,573
11,49,1824
12,48,1704
13,39,1722
14,65,2041
15,31,1767
16,45,2273
17,33,1524
18,47,1698
19,44,1627
20,53,1681
21,45,1666
22,33,1578
23,36,1573
24,27,393
25,36,1608
26,42,1722
27,37,1698
28,56,1753
29,70,1653
30,47,1895
31,43,1840
32,32,1485
33,50,2317
34,62,1940
35,57,1742
36,33,1878
37,33,2143
38,59,2018
39,26,235
40,77,2081
41,56,2060
42,34,1944
43,47,2009
44,42,2086
45,37,1882
46,44,1811
47,24,74
48,35,1816
49,61,1835
50,32,1676
51,47,2017
52,64,1884
53,67,2065
54,31,1585
55,66,1897
56,37,2080
57,46,1977
58,31,1919
59,44,2320
60,68,1727
61,35,1744
62,95,1877
63,40,1808
64,108,1834
65,33,1597
66,47,1741
67,51,1766
68,38,1794
69,42,2355
70,40,3262
71,54,3050
72,64,3112
73,42,2009
74,52,1978
75,49,1904
76,49,1836
77,29,821
78,47,1821
79,51,1753
80,69,1800
81,47,2158
82,44,2059
83,50,2116
84,39,1724
85,69,1945
86,77,1766
87,51,2196
88,85,2122
89,59,1958
90,61,1857
91,54,1828
92,96,1932
93,81,1666
94,30,1110
95,76,1884
96,44,1921
97,66,2042
98,39,1818
99,57,1672
100,50,1665
