TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,3,0
1,0,0
2,8,1
3,0,0
4,15,2
5,6,1
6,9,1
7,2,0
8,5,1
9,13,0
10,5,1
11,3,0
12,11,1
13,2,0
14,3,0
15,6,1
16,8,0
17,11,1
18,5,2
19,5,0
20,6,1
21,7,0
22,4,1
23,7,0
24,8,1
25,6,1
26,5,1
27,3,1
28,8,0
29,7,1
30,3,0
31,5,0
32,7,1
33,4,1
34,3,1
35,5,0
36,15,1
37,1,0
38,17,1
39,2,0
40,10,1
41,10,0
42,8,3
43,12,1
44,5,0
45,12,0
46,8,1
47,7,0
48,33,7
49,9,1
50,9,1
51,7,6
52,3,1
53,3,1
54,10,0
55,21,13
56,22,2
57,0,0
58,8,1
59,10,0
60,9,1
61,8,1
62,5,1
63,46,12
64,15,4
65,4,1
66,4,4
67,3,0
68,11,1
69,19,1
70,10,1
71,2,1
72,13,9
73,0,4
74,2,2
75,2,0
76,2,0
77,11,1
78,7,1
79,8,1
80,3,0
81,14,4
