TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,10,2
1,0,2
2,0,2
3,0,2
4,0,8
5,0,1
6,0,1
7,3,4
8,0,2
9,0,1
10,0,1
11,0,2
12,0,2
13,0,1
14,0,5
15,0,0
16,0,2
17,0,1
18,0,2
19,0,2
20,0,3
21,0,1
22,0,1
23,0,2
24,2,1
25,0,1
26,0,2
27,0,1
28,0,3
29,0,5
30,0,2
31,6,3
32,0,1
33,0,2
34,0,4
35,0,3
36,0,1
37,0,1
38,0,3
39,0,1
40,0,6
41,0,3
42,0,1
43,0,2
44,7,3
45,0,2
46,0,1
47,0,1
48,6,2
49,0,3
50,0,1
51,0,2
52,0,5
53,0,4
54,0,1
55,0,5
56,0,1
57,0,2
58,0,1
59,0,1
60,0,5
61,0,1
62,0,10
63,0,1
64,0,12
65,0,1
66,0,2
67,30,11
68,0,2
69,0,1
70,0,2
71,0,2
72,18,7
73,0,2
74,0,2
75,0,3
76,0,2
77,10,2
78,0,2
79,0,2
80,19,8
81,0,2
82,0,2
83,0,3
84,0,1
85,0,6
86,0,6
87,0,3
88,0,7
89,6,4
90,0,4
91,0,2
92,0,10
93,0,7
94,0,1
95,0,7
96,0,2
97,0,4
98,0,1
99,0,4
100,0,2
