TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,0,4
1,0,10
2,0,4
3,0,4
4,0,3
5,0,4
6,0,4
7,0,3
8,0,8
9,0,3
10,0,1
11,0,3
12,0,3
13,0,4
14,0,2
15,0,3
16,0,2
17,0,4
18,0,4
19,0,5
20,0,2
21,0,4
22,0,4
23,0,3
24,0,6
25,0,4
26,0,1
27,0,4
28,0,3
29,0,3
30,0,2
31,0,3
32,0,3
33,0,4
34,0,4
35,0,4
36,0,3
37,0,5
38,0,4
39,0,3
40,0,7
41,0,3
42,0,1
43,0,3
44,0,5
45,0,4
46,0,2
47,0,3
48,0,2
49,0,5
50,0,5
51,0,4
52,0,2
53,0,6
54,0,4
55,0,3
56,0,5
57,0,6
58,0,1
59,0,3
60,0,3
61,0,4
62,0,3
63,0,2
64,0,2
65,0,5
66,0,5
67,0,4
68,0,2
69,0,4
70,0,4
71,0,3
72,0,6
73,0,3
74,0,1
75,0,4
76,0,3
77,0,3
78,0,2
79,0,3
80,0,3
81,0,4
82,0,4
83,0,4
84,0,3
85,0,4
86,0,3
87,0,3
88,0,8
89,0,3
90,0,1
91,0,3
92,0,4
93,0,3
94,0,3
95,0,2
96,0,2
97,0,4
98,0,5
99,0,4
