TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,2,1
1,1,2
2,1,1
3,3,1
4,6,3
5,1,2
6,3,3
7,1,1
8,1,5
9,1,3
10,24,12
11,3,2
12,2,2
13,36,4
14,91,86
15,237,576
16,95,5093
17,166,279
18,86,87
19,50,49
20,42,13
21,108,134
22,2,3
23,64,11
24,1,1
25,13,5
26,66,12
27,5,3
28,2,2
29,59,26
30,2,1
31,18,9
32,1,2
33,1,2
34,1,1
35,1,2
36,259,1088
37,1,3
38,1,3
39,4,2
40,3,3
41,3,2
42,2,3
43,3,8
44,56,52
45,19,23
46,72,61
47,10,14
48,16,19
49,8,14
50,1,1
51,48,124
52,14,7
53,47,45
54,51,38
55,55,55
56,78,71
57,18,10
58,39,23
59,8,12
60,3,5
61,1,1
62,1,1
63,8,2
64,45,5
65,1,2
66,1,2
67,5,1
68,1,2
69,1,1
70,1,1
71,8,3
72,3,2
73,429,4217
74,6,2
75,48,37
76,9,2
77,2,1
78,1,2
79,35,20
80,30,22
81,7,3
82,1,1
83,3,1
84,10,4
85,1,1
86,1,4
87,5,6
88,4,3
89,1,1
90,1,2
91,1,2
92,3,2
93,1,3
94,2,9
95,1,2
96,10,28
97,1,4
98,10,7
99,9,13
100,1,3
