TraceId, Cost_TRIE_STREAMING, ExecutionTime_TRIE_STREAMING
0,1,0
1,10,7
2,17,12
3,5,12
4,25,30
5,12,9
6,11,11
7,6,8
8,14,18
9,13,10
10,11,10
11,5,13
12,11,12
13,2,908
14,11,7
15,10,10
16,7,9
17,14,6
18,16,11
19,12,12
20,16,14
21,7,17
22,11,17
23,9,9
24,15,16
25,19,12
26,15,10
27,11,14
28,7,15
29,9,7
30,5,10
31,14,14
32,11,6
33,13,8
34,7,6
35,5,8
36,18,13
37,4,79
38,15,8
39,15,8
40,10,8
41,4,9
42,17,10
43,12,13
44,9,7
45,6,7
46,7,13
47,13,17
48,41,43
49,16,8
50,8,7
51,14,7
52,14,8
53,10,7
54,10,10
55,25,16
56,24,18
57,8,8
58,15,10
59,10,9
60,15,7
61,13,8
62,7,9
63,57,426
64,21,18
65,13,6
66,8,9
67,9,8
68,6,6
69,13,12
70,15,8
71,12,6
72,17,8
73,20,6
74,7,7
75,10,8
76,7,6
77,4,682
78,7,7
79,8,11
80,6,7
81,22,11
